,id,followers,genres,name,popularity
1099545,407e14fNhbREOfzkyNINHK,347.0,[],Cheb Salih,7
164149,5DaZV3qmFT3aS57df8KPkV,31608.0,"['alternative emo', 'anthem emo', 'bubblegrunge', 'emo', 'indie punk', 'la indie', 'pop punk']",Spanish Love Songs,47
195502,4iPJPRf5PwdK59RLgJ60zX,499.0,[],Kotovsky86,15
451489,15fKOZ3BwuaitqByh9Wo4T,221.0,[],คณะนักร้องเด็ก,25
598338,6nNUuYLIjoPHOETiSbhRUe,37.0,[],Nerine Barrett,5
862697,6zL1XkO8wRg2Noi1OISBaL,120.0,['polish jazz'],Krzysztof Komeda Quintet,0
956363,038OntpEsCDCqRYpaP2C4Q,28.0,[],Joe Gooch,0
735218,3XLXD2ntSPWyD8tvVtqpBv,5286.0,[],не панк,36
159972,33yLLoQo58B1Sq7eTfXIU8,14419.0,"['louvor', 'world worship']",7MUS,21
1020506,5DDHdXtptGg3Kqqwz3cO9q,5.0,[],Nicky Stan,0
653800,316OKawXqoa86qks0zQukt,7.0,[],Cool World,0
938813,18bsgYIMEnJlEjgod2Jk9A,358.0,[],Promise No Promises,8
310774,2UHi0aUTspN9tcJFixq2hd,268.0,[],Nima Masiha,0
1015369,6l8QRN5U4lXGjlwvicM1a8,234.0,"['deep symphonic black metal', 'ukrainian black metal']",Quintessence Mystica,0
351313,4QIfbx5qCz4S64PFDN0HHC,71.0,[],Omar Essa,1
817706,0J0aShJwzs7n0ZCGp6Hoe9,69.0,[],DJ Raydar,0
114907,4F7WWU6Ff07T2H5aq6oq1J,342.0,[],Calyboi,27
5741,7MVjdtSA42VDjxKDcwb7ij,1.0,[],Bekman,4
588973,1LBU7pXmjSw9zpj2pNmIr8,26.0,[],Superjams,1
1030873,02yVrAgkgwaxsntwNavv5J,116.0,[],Tony Monero,9
813792,7KMbhJbSGrnqIKFVOfwt7e,255.0,[],SHIN Seung Ho,12
164506,18aj8Kb1qalDj2zgdQ3QBf,450.0,['experimental indie'],Banny Grove,4
132504,0JunAlZntTAewMBGq6dTSl,17.0,[],Josef Witt,1
1040349,7HRQTh5nebTlyaCHjEhDJS,913.0,['circuit'],Paula Bencini,21
446226,3PzD6YYEuamThWwVFQD7tE,9.0,[],Dylanwad,0
278978,219VCiRViG60EbPiocSWJp,23404.0,"['art punk', 'grunge', 'noise rock', 'post-hardcore', 'post-punk', 'texas punk']",Scratch Acid,28
1076515,3yDbR0eiX5vOecrx6wQaoO,543.0,[],Monaco Vibes,40
275055,47DIrvE03m9rQzgFXu9eJo,379.0,[],Aditya Iyengar,24
700246,7gu1VQG0vnEgv7IYgVVUAQ,257.0,[],Cândido,1
144083,3Bnq7jiU506HcPjRgQ43TM,542261.0,"['bossa nova', 'mpb', 'musica popular mineira', 'samba']",Milton Nascimento,63
676535,2J8LCD54JsTYUXzFCrLhxw,46.0,[],KIV Orchestra,0
347741,6Ek5VV9IZLYJObhWYHwjrM,0.0,[],Natalie Noack,0
1094561,7HM5QQqoNmeIMKPQuzykZF,62.0,[],Systems & Stories,1
222944,6qBjK1dD3p6ZDBaG52FT1S,3789.0,[],Benita Jones,31
15212,0GhHmrh9xLETf7mKbtn2Wy,0.0,[],JyuninToiro,0
1013717,2dO6yK3KNuHEpfpL7Ythp8,1125.0,[],Eric Holm,6
994158,1thylQbX4JsHp8UmIr9c4j,0.0,[],Digital Monkey,0
825,4hdukNuxH8LrLOXZFpztuY,49.0,[],Revolucionario de Café,0
893296,13lyik0fVxoFEuTOAOLQQs,97.0,[],Mucho ruido,3
882969,0Ic1sxva3K7nroqQRkLlQ3,14.0,[],DIORI a.k.a. D-ORIGINU,0
287538,4edvNKiXn7h9hZSisrW5WO,26.0,[],fluuk,0
148110,0LsWYBCJpjWxHIy7dDc5E1,0.0,[],King Darius,0
683396,1QLwdagfNUO0aBahlzU1oa,129.0,[],Dan Patterson,2
761496,56WBukEfdqPJilKjLzrmtd,21.0,[],Lamune,0
599807,1gtSRwvuJ7bd0ORamiA3ge,38.0,[],Elster Club,0
18787,6W0BTPNERby9NUUSyF5Fiq,176.0,"['bouzouki', 'kritika']",Thanasis Vasilas,32
702661,2F9oGvh0u59HTu8KjJeYTO,22.0,[],Ginger Folorunso Johnson,1
1095570,5Xv9DcHwQFBYVMnSKcX1JG,18.0,['grunge pop'],Mile,0
215636,4jMatS3v7qBHZeFrhrrYry,132.0,[],JSR Madhukar,5
469784,0Fl8FuZuICxDvGOkxpxgJc,28028.0,[],Nature Al Listic,0
163275,4JJP0oefWauab918fcsq2q,0.0,[],Luthan Fayah,0
211618,45r6F8xmalbeZEQ21837Vh,667.0,"['irish accordion', 'irish banjo', 'irish neo-traditional', 'jig and reel']",Martin Quinn & Angelina Carberry,14
137778,2GMH35k5oLCjzYpn5HbaD8,12498.0,"['easy listening', 'lounge', 'polka']",Lawrence Welk,36
402850,4bRULSawmHrACc1TnB2sYg,51.0,[],MRC Riddims,3
432451,6mWqvbbBJz8KDUm5X0eN6h,72.0,[],Wil Milton,2
676934,74wicH3InxBNUPbxAaEmwW,50.0,[],A.D.N.,5
870906,5Oq8GiyhhO4aR9RGSiJaDe,49.0,[],JERX,1
60441,1kh2WTMUGTfuftHlfkH4Y2,2.0,[],OneHappy,0
761170,4KobCSunwX80CHGKiuMxqb,56.0,[],Disko Matique,0
325083,7pGBpplpmVkGOtmtywWFgp,6.0,[],"Kevin Romerdal, Zack J",0
865798,5Kvqp7zsGzZGMbBdwoelCj,44.0,[],boy outside,0
