,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
118440,02itaCXOdC54J0ISjqqFAp,All Around The World (La La La),78,147840,0,"['R3HAB', 'A Touch Of Class']","['6cEuCEZu7PAE9ZSzLLc2oQ', '5wTdspmxzb8V4ZjvDodpBo']",2019-04-05,0.733,0.8590000000000001,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,4
126525,3jFV8ytuDC1Az1GVH8WBtG,Hoch im Norden,34,230573,0,['Udo Lindenberg'],['7iWcRnQMinCoV2u5ICgsW0'],1972,0.428,0.48700000000000004,0,-12.824000000000002,1,0.0501,0.47600000000000003,0.000446,0.098,0.39799999999999996,86.307,4
105779,2m4Pj6wQvhiBITHzjYZpsh,Trains and Boats and Planes,40,169680,0,"['Billy J. Kramer', 'The Dakotas']","['3qL4moFMePG5zA87tLcCOM', '3f121mss4A4LwR25ErGzP0']",1991-09-30,0.65,0.579,5,-7.45,1,0.0322,0.43700000000000006,8.8e-05,0.146,0.41600000000000004,111.087,4
13268,1PG6xLajgBscF8IWm87y9v,Dă-mi mâinile să le sărut!,1,179226,0,['Zavaidoc'],['74z7gJEZzCzhvdNzEdQr4V'],1939-01-01,0.23399999999999999,0.223,7,-14.005999999999998,0,0.0567,0.995,0.0213,0.11199999999999999,0.0667,75.839,3
464267,7uCn7CEUz0s1f4uBXbNbuT,Criollazo - Remasterizado,0,190707,0,['Ignacio Corsini'],['5LiOoJbxVSAMkBS2fUm3X2'],1926-04-25,0.428,0.11,2,-24.765,1,0.0755,0.9940000000000001,0.909,0.08900000000000001,0.688,66.319,4
234889,6EdLt3a0KnLRktxlSkzP2u,Ahora y Siempre,33,185747,0,['La Mafia'],['3rhO3rDk432VyAwyZnkECs'],1991,0.753,0.569,2,-7.334,1,0.0359,0.375,0.0,0.22399999999999998,0.838,75.915,4
54798,6k9IY8ZUD0wihrL4Ch7Upn,Qué sabe nadie,48,314133,0,['Raphael'],['796OSRuB0E9Hq55uTFL9U8'],1981-01-06,0.6559999999999999,0.511,3,-11.203,1,0.0891,0.519,0.0,0.0864,0.384,82.70100000000001,4
501985,1wXW3aBz3airB4J2p4uF1H,Aber Dich gibt's nur einmal für mich,11,193880,0,['Mandy und die Bambis'],['2PC9HWIR8eTFd0AHbypm4y'],1976,0.494,0.361,5,-6.947,1,0.0554,0.732,1.55e-05,0.0981,0.67,70.786,4
441182,46nDawNxDGJf2FLQteNDwk,Messenger Boy,18,135507,0,['Christy Moore'],['3Ebn7mKYzD0L3DaUB1gNJZ'],1991-09-09,0.7929999999999999,0.509,0,-15.809000000000001,1,0.0507,0.318,0.319,0.0628,0.935,106.932,4
360820,1WSS1hT314IcMWKob6HIPY,Anna Kaffepanna,11,142467,0,['Owe Thörnqvist'],['5gcvW6H0e7pudeOGevacuw'],1960-03-30,0.501,0.9,3,-4.725,1,0.0466,0.605,0.0,0.371,0.9690000000000001,174.03,4
45303,15CfRtjyHBq6AxKZL7aEDZ,Just One Of Your Kisses,36,170128,0,['Ralfi Pagan'],['5Wq4oFrEbsAvYqQ1cc6vLz'],1971-01-01,0.611,0.225,10,-16.551,1,0.0853,0.91,0.153,0.133,0.615,147.484,4
40379,5sTNssVGuFxYi3ti8Z76B2,Think I'll Go Somewhere (And Cry Myself to Sleep),0,174120,0,['Bill Anderson'],['0gWNSMYCSHF4wxIs1XTSDh'],2011-06-13,0.607,0.33899999999999997,4,-15.767999999999999,1,0.0327,0.42200000000000004,5.54e-06,0.18600000000000003,0.703,112.859,4
547698,2V5S4GygeyUxAbJkaM6Zbf,紅雀,22,212427,0,['Yumi Matsutoya'],['1LQQtqc1vQ1neUgZrjYlEU'],1978-03-05,0.659,0.379,0,-10.844000000000001,1,0.0303,0.295,0.0012699999999999999,0.0523,0.787,109.277,4
255279,0JZFIIs9U62DkDaIrMpm4K,Recuerdos de Ypacaraí,48,246268,0,['Ainda'],['3eZXi1et2XpXPD7PoUDDzE'],2013-09-07,0.616,0.153,7,-12.57,1,0.0323,0.965,8.79e-05,0.11,0.33,167.87599999999998,3
201188,1U8Ta5gcm2xhma1FQS2bKV,Dime Tú,73,178080,0,"['Anuel AA', 'Ozuna']","['2R21vXR83lH98kGeO99Y66', '1i8SpTcr7yvPOmcqrbnVXY']",2021-01-22,0.82,0.6559999999999999,5,-4.72,0,0.0943,0.42700000000000005,0.0,0.16,0.7090000000000001,82.069,4
292200,3N9Q5Ox6ksoCPXtwsyD5NI,Mia Vradia Sto Louki - Live,19,168693,0,['Yiannis Kotsiras'],['6waWR57xXsgtWztHX1v8TB'],2002-12-17,0.257,0.8109999999999999,7,-6.267,1,0.0683,0.373,0.0,0.9740000000000001,0.48200000000000004,186.363,3
388216,5JQ04l3GC7hU63fpi6Jd7Q,Who E Ta,32,238103,1,['УННВ'],['7EQTPWt62cFgqw1nAiFiRl'],2012-06-19,0.619,0.899,8,-4.033,1,0.43200000000000005,0.489,0.0,0.0653,0.433,172.081,4
55136,6JuqS34gicxFr92kO7D2Hm,La mia libertà,41,218013,0,['Franco Califano'],['1Bkzb6WJ348VTlTrnJuqIz'],1981,0.623,0.39399999999999996,0,-14.538,1,0.0361,0.39799999999999996,2.11e-06,0.0519,0.45799999999999996,107.324,4
418288,35me6wmiTt7YepDXngoQdQ,River Blue,34,272240,0,['A La Carte'],['24HKsNIUVWn30BJDLMXlMD'],1999-03-08,0.516,0.386,5,-18.067999999999998,1,0.0343,0.715,1.27e-05,0.0906,0.469,122.042,4
91761,0rH0mprtecH3grD9HFM5AD,Reckless Love,72,333386,0,['Cory Asbury'],['2gXmjQIxCO8lMnSncluZaU'],2018-01-26,0.5720000000000001,0.685,6,-7.29,1,0.0356,0.0291,0.0,0.0963,0.23199999999999998,110.698,4
43788,1QdrUOQkbXJbpNqOKgJpq5,Candida,48,182370,0,"['The Dawn', 'Tony Orlando & Dawn']","['5z348neb55aaKyQhVgqEvS', '72NXpYBIaTfEeAAsxXLs0P']",1970,0.7829999999999999,0.596,7,-10.056000000000001,1,0.0676,0.235,0.0,0.0427,0.88,127.57600000000001,4
100114,7mqD5PNGCskLhDWIurXmAT,Bird on the Wire,33,204427,0,['Leonard Cohen'],['5l8VQNuIg0turYE1VtM9zV'],1975,0.38,0.0286,9,-24.654,1,0.036000000000000004,0.892,0.0131,0.126,0.192,128.12,3
1173,3V1sblJugg82L8yxgw6BMZ,Lullaby Of The Leaves,7,189440,0,['Connie Boswell'],['4AhdPLjnpvCw7oh1tB9AoT'],1925,0.376,0.10400000000000001,2,-16.625999999999998,1,0.0488,0.992,8.15e-06,0.159,0.20199999999999999,90.542,4
379288,5ELpgmEVGQwigF2WNBDMvd,Charisme (avec Wallen),41,253947,0,['Rohff - Wallen'],['48uEZFlkOeRL6RuF1QRH9q'],2004-06-18,0.86,0.665,10,-2.622,1,0.12,0.387,0.0,0.0467,0.825,92.979,4
404465,6yRoOliBqx8ai0NmTMGhXn,我们怎么了,34,242413,0,['S.H.E'],['2lWShxOL8iTlI0pmtVKvEh'],2006,0.5920000000000001,0.361,11,-7.098,1,0.0265,0.588,0.0,0.10099999999999999,0.174,135.971,4
402695,46Vk8D27GHNbvUfZWNBgAo,Kota Kedukaan,11,328560,0,['Rahim Maarof'],['7aRWUPJRVa41f5roF2J1AW'],1994-04-01,0.655,0.655,4,-6.556,0,0.0236,0.22,3.86e-06,0.12,0.7979999999999999,84.01,4
103890,5Md9qKrbuXpg9OzR4cZYSI,Carol Masters,31,272733,0,['Alphaville'],['0xliTEbFfy5HQHvsTknTkX'],1986-05-23,0.5429999999999999,0.465,7,-13.265,1,0.0286,0.506,6.87e-05,0.26,0.337,161.827,4
404849,7aBLA5mAEuj49i4la6h66F,Hari Ini Dan Semalam,36,192067,0,['6ixth Sense'],['5AUIOCOwfhbmaASDMPjvhw'],2009-01-01,0.55,0.941,0,-3.964,0,0.0789,0.228,0.0,0.152,0.634,127.28299999999999,4
227240,2fKHjcgV3eMqgfaT8ZLzUb,"Там, за туманами",37,227147,0,['Lyube'],['4Z2QXZRqTdguBQrM8pr4eD'],1997-01-01,0.644,0.508,9,-9.31,0,0.0318,0.154,0.007540000000000001,0.121,0.42,96.037,3
16917,4RqgRm6fd1igzcx0Ccl6If,"Tod und Verklärung, Op. 24: Moderato",0,445600,0,"['Richard Strauss', 'Arturo Toscanini']","['6pAwHPeExeUbMd5w7Iny6D', '4xpgBZSojKNEQqQHXrwSXA']",1942,0.142,0.204,0,-14.64,1,0.0361,0.924,0.919,0.132,0.0349,63.688,5
557174,6EMfKWvSY1crIxWj0RdyjT,暗号のワルツ,33,265787,0,['ASIAN KUNG-FU GENERATION'],['0MK8l3nURwwQIjafvXoJJt'],2006,0.428,0.9420000000000001,9,-5.1610000000000005,1,0.0437,0.00158,0.303,0.0627,0.6679999999999999,200.80700000000002,3
468895,2XU4EzsFBRlZCCAWLHGudv,The Cruise,9,1628560,0,['Tony Hancock'],['71QEsdhhAZfXGDcpf1mbIY'],1959,0.517,0.256,7,-26.671999999999997,1,0.9259999999999999,0.9079999999999999,0.0,0.8420000000000001,0.526,77.41199999999999,4
521454,60OTTnpfPAludJEWfiutTf,Bal Bhaktalagi Toochi Aasara Pali,9,135373,0,['Usha Mangeshkar'],['3R2OMv8JpXLy6ZIW7Qxz59'],1980-05-08,0.531,0.376,1,-10.88,1,0.0672,0.5329999999999999,0.0,0.13,0.79,179.799,3
489254,7rdEMv4aVP06p3hoPWtbab,Uncle George,20,284093,0,['Steel Pulse'],['6UL7BodGc5iVmQGlMwHR0g'],1979,0.779,0.568,4,-10.629000000000001,0,0.10800000000000001,0.175,0.0,0.0972,0.872,129.84,4
406155,4i69rFBMTOOucN2QE5bSbq,Kisah Antara Kita,44,256833,0,['One Avenue Band'],['01YmHxZRGiIYkpie1oyB5b'],2018-04-24,0.41,0.618,7,-6.053999999999999,1,0.0311,0.8390000000000001,7.62e-05,0.15,0.213,139.845,4
491913,2Q6hEaDXzqB49Zhk8oCWT1,Ringo (I Feel Like),24,169533,0,['Custard'],['09NEIWHdaWneBWsjYdDnwz'],1999-10-11,0.597,0.888,11,-5.064,1,0.0759,0.0223,2.69e-06,0.664,0.617,126.115,4
320261,5q5MidUsV7q1FuYuuADoyY,Hvis Tårer var Guld,7,193825,1,['The Country Danes'],['0QVSmyteIeTTaaCYB8ysn3'],2021-03-23,0.508,0.331,7,-8.152999999999999,1,0.027000000000000003,0.742,1.16e-06,0.128,0.195,104.94,3
360625,4fCNF4elbLxvGKI99LiItc,Awro Behare,2,251167,0,['Hesen Zîrek'],['5gVbjDv4YUfGNMrXisoCdY'],1956-05-01,0.33299999999999996,0.612,10,-6.841,1,0.0739,0.995,0.94,0.794,0.8859999999999999,71.73100000000001,3
71563,1Q0lOGB52skgfzdcq233vs,Nothing Even Matters (feat. D'Angelo),64,350533,0,"['Ms. Lauryn Hill', ""D'Angelo""]","['2Mu5NfyYm8n5iTomuKAEHl', '336vr2M3Va0FjyvB55lJEd']",1998-08-25,0.539,0.363,10,-13.888,0,0.166,0.701,3.18e-06,0.14,0.5489999999999999,136.422,4
403526,79LIcbUXrGecsOqRkmccAy,Tak Esok Lusa,14,363573,0,['Spider'],['0ywr1ZAKRKCjUutji6e4P8'],1999-01-25,0.5670000000000001,0.71,0,-4.654,1,0.0273,0.0622,0.0,0.11599999999999999,0.34600000000000003,118.15899999999999,4
